dbn,school_name,school_type,n_test_takers,reading,math,writing,parent_response_rate,teacher_response_rate,student_response_rate,academic_expectations,communication,engagement,safety_and_respect,SAT_score,total_satisfaction
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,MS/HS,56,386,394,361,29,77,74,7.6,7.5,7,7.1,1141,7.300000000000001
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,HS,72,381,376,354,41,89,96,8.3,8.2,7.8,8,1111,8.075
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,HS,97,444,471,433,57,88,91,8.5,8.4,8.1,8.2,1348,8.3
11X290,BRONX ACADEMY OF HEALTH CAREERS,HS,69,387,365,383,25,90,77,7.8,7.7,7.2,7.2,1135,7.475
11X299,ASTOR COLLEGIATE ACADEMY,HS,60,387,391,391,31,100,87,7.7,7.6,7.1,7,1169,7.35
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,HS,121,367,361,353,5,78,76,7.2,7.4,7.1,6.7,1081,7.1000000000000005
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,HS,48,419,433,416,15,77,56,8,7.8,7.6,7.9,1268,7.824999999999999
11X455,HARRY S TRUMAN HIGH SCHOOL,HS,189,386,397,368,6,57,50,7.6,7.3,7.1,7.2,1151,7.3
11X513,NEW WORLD HIGH SCHOOL,HS,72,332,381,335,60,70,94,8.4,8.1,7.9,8.1,1048,8.125
11X514,THE BRONXWOOD PREPARATORY ACADEMY,HS,48,377,372,363,26,64,76,7.7,7.3,6.9,7.2,1112,7.2749999999999995
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,HS,57,372,382,375,17,42,77,7.9,7.8,7.4,7.2,1129,7.575
11X542,PELHAM PREPARATORY ACADEMY,HS,76,431,438,419,65,89,93,8.3,8.1,7.8,7.9,1288,8.025
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,HS,55,383,378,365,23,70,51,7.8,7.9,7.5,7.7,1126,7.725
11X545,BRONX AEROSPACE HIGH SCHOOL,HS,46,388,393,382,25,70,73,7.4,7,6.6,6.5,1163,6.875
12X245,NEW DAY ACADEMY,MS/HS,25,348,344,354,67,100,86,7.7,7.8,7,7.8,1046,7.575
12X248,"METROPOLITAN HIGH SCHOOL, THE",HS,49,347,367,341,27,89,71,8.4,8.6,7.9,8,1055,8.225
12X251,EXPLORATIONS ACADEMY,HS,57,381,381,360,27,60,75,8,7.7,7.4,7.9,1122,7.75
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,HS,30,361,353,360,61,100,86,6.9,6.6,6.3,6.8,1074,6.65
12X267,BRONX LATIN,MS/HS,36,408,432,411,51,100,97,8.7,8.5,7.9,8.1,1251,8.3
12X271,EAST BRONX ACADEMY FOR THE FUTURE,MS/HS,46,366,378,358,15,51,49,8.2,8.1,7.7,7.5,1102,7.874999999999999
12X278,PEACE AND DIVERSITY ACADEMY,HS,34,390,401,364,99,95,98,8.5,8.2,8.3,8.2,1155,8.3
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,HS,30,321,351,298,68,100,90,8.9,8.7,8.6,8.6,970,8.700000000000001
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,HST,14,380,372,349,53,100,55,8.1,8.1,7.9,8.1,1101,8.05
12X480,BRONX REGIONAL HIGH SCHOOL,HST,16,398,385,398,25,82,68,8.3,8.5,7.8,7.9,1181,8.125
12X550,HIGH SCHOOL OF WORLD CULTURES,HS,42,304,323,312,89,89,75,8.1,8,7.8,8.3,939,8.05
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,HS,72,342,346,341,62,91,68,8.6,8.6,8.2,8.3,1029,8.425
12X684,WINGS ACADEMY,HS,66,378,374,362,38,92,80,7.6,7.3,7,7,1114,7.225
12X690,MONROE ACADEMY FOR BUSINESS/LAW,HS,31,375,387,376,15,86,87,7.5,7.1,6.1,7.3,1138,7
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,HS,43,332,357,349,14,71,81,7.7,7.7,7.2,7.4,1038,7.5
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,MS/HS,29,352,349,373,24,62,70,8.1,8,7.6,7.8,1074,7.875000000000001
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,HS,52,360,364,356,21,52,64,7.4,7.4,6.9,7.5,1080,7.300000000000001
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",HS,37,375,355,384,30,89,94,7.9,7.9,7.4,7.5,1114,7.675000000000001
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",HS,92,399,417,395,20,81,78,6.9,6.6,6.2,6.2,1211,6.475
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,HS,1277,587,659,587,35,89,91,7.6,6.8,6.9,7.6,1833,7.225
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,HS,90,305,364,312,85,100,95,9,8.8,8.8,9,981,8.9
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,HS,105,400,417,389,53,100,93,8.4,8.3,7.8,7.8,1206,8.075000000000001
13K499,ACORN COMMUNITY HIGH SCHOOL,HS,72,384,364,368,21,91,59,7.9,7.8,7.5,7.4,1116,7.65
13K509,FREEDOM ACADEMY HIGH SCHOOL,HS,29,400,390,403,16,90,78,7.1,6.7,6.3,6.8,1193,6.7250000000000005
13K553,BROOKLYN ACADEMY HIGH SCHOOL,HST,8,435,383,379,29,83,65,8.6,8.5,8.1,8.4,1197,8.4
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,HST,13,398,391,394,34,100,95,9.1,9,8.6,8.9,1183,8.9
13K595,BEDFORD ACADEMY HIGH SCHOOL,HS,89,438,443,431,65,95,90,8.9,8.8,8.3,8.6,1312,8.65
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,85,406,391,392,34,94,77,7.9,7.7,7.4,7.5,1189,7.625
13K670,BENJAMIN BANNEKER ACADEMY,HS,185,471,472,448,23,67,82,7.5,7.4,7.2,7.7,1391,7.45
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",HS,20,441,499,413,26,82,85,8.2,8.2,7.4,7.5,1353,7.824999999999999
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,MS/HS,102,365,361,359,44,86,78,8.3,8.2,7.9,7.8,1085,8.049999999999999
14K449,"BROOKLYN LATIN SCHOOL, THE",HS,72,586,584,570,24,86,94,8.3,8.6,7.9,8.7,1740,8.375
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,HS,41,407,386,396,28,38,52,7.8,7.7,7.3,7,1189,7.45
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,HS,144,364,379,371,33,74,56,8.2,8,7.8,8,1114,8
14K477,SCHOOL FOR LEGAL STUDIES,HS,134,413,396,395,21,97,54,7.4,7,6.7,7.1,1204,7.050000000000001
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",HS,142,398,421,396,14,76,39,8,7.9,7.6,7.7,1215,7.8
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,HS,42,367,373,350,27,85,71,7.9,7.8,7.4,7.6,1090,7.675000000000001
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,HS,72,363,385,364,58,100,93,9.1,9.1,8.8,8.8,1112,8.95
14K561,WILLIAMSBURG PREPARATORY SCHOOL,HS,113,397,410,380,32,96,83,8.8,8.8,8.1,8.4,1187,8.525
14K586,LYONS COMMUNITY SCHOOL,MS/HS,31,371,377,355,26,98,75,8.1,8.2,7.6,7.3,1103,7.8
14K610,AUTOMOTIVE HIGH SCHOOL,HS,94,367,376,350,9,74,44,7.1,7,6.6,6.6,1093,6.824999999999999
14K632,FRANCES PERKINS ACADEMY,HS,12,382,372,368,32,88,86,7.6,7.6,7.1,7.4,1122,7.424999999999999
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,HS,28,359,335,341,33,100,83,8.6,8.5,8.1,8.5,1035,8.425
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,MS/HS,52,361,367,383,14,90,75,7,6.5,6.2,7.1,1111,6.699999999999999
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,MS/HS,76,393,399,387,33,68,88,7.9,7.6,7.3,7.6,1179,7.6
15K462,SECONDARY SCHOOL FOR LAW,MS/HS,59,398,411,394,43,97,90,7.4,7.1,6.6,7,1203,7.025
15K463,SECONDARY SCHOOL FOR JOURNALISM,MS/HS,58,397,391,381,9,87,75,6.5,5.5,5.5,5.7,1169,5.8
15K464,PARK SLOPE COLLEGIATE,MS/HS,72,379,416,380,20,81,72,7.8,7.7,7.3,7.1,1175,7.475
15K497,SCHOOL FOR INTERNATIONAL STUDIES,MS/HS,64,405,415,392,7,78,62,7.1,6.5,6.2,6.8,1212,6.65
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,HS,77,398,402,385,37,90,46,8.3,7.8,7.7,8,1185,7.95
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,HS,28,368,365,368,42,75,70,7.8,7.8,7.5,8.1,1101,7.800000000000001
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,HS,141,426,421,411,19,86,90,7.8,7.4,7.1,7.5,1258,7.449999999999999
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,HST,8,430,416,425,14,82,65,8.4,8.4,8.1,8.8,1271,8.425
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,MS/HS,20,355,355,358,17,96,77,8,8.1,7.8,7.9,1068,7.950000000000001
16K455,BOYS AND GIRLS HIGH SCHOOL,HS,131,365,370,362,14,71,35,8.2,8.4,8.1,7.8,1097,8.125
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,HS,46,362,372,358,37,56,58,8,7.9,7.5,7.9,1092,7.824999999999999
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,HS,36,370,372,351,23,87,88,8.3,8.1,7.8,7.7,1093,7.975
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,MS/HS,59,396,374,369,8,79,87,7.7,7.4,6.7,6.5,1139,7.075
17K408,ACADEMY OF HOSPITALITY AND TOURISM,HS,57,352,342,351,26,72,84,8,7.6,7.4,7.4,1045,7.6
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,HST,7,394,364,334,30,100,75,8.4,8.5,7.9,8,1092,8.2
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,HS,71,287,335,291,41,100,85,8.4,7.7,7.8,7.9,913,7.950000000000001
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,HS,46,403,385,388,37,95,57,7.4,7.5,7.1,7.1,1176,7.275
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",MS/HS,35,348,381,359,59,100,97,8.6,8.7,8.2,8.3,1088,8.45
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,MS/HS,38,377,404,372,61,100,93,7.4,7.7,6.9,6.4,1153,7.1
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,HS,73,338,349,340,48,91,85,8.1,8.2,7.6,7.3,1027,7.8
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,HS,61,362,375,368,26,96,76,8.2,8.2,7.6,7.3,1105,7.825
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",MS/HS,69,457,462,441,96,72,91,8.5,8.2,8,8.1,1360,8.2
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,HS,54,386,391,369,5,90,78,7.2,7.4,6.4,6.7,1146,6.925
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,HS,79,418,441,414,27,88,90,8.4,8.4,8.1,8.4,1273,8.325
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,HS,63,388,382,373,24,94,85,7.5,7.6,7.1,7.2,1143,7.35
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,HS,48,385,393,373,40,100,81,7.5,7.4,6.9,6.8,1151,7.15
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,HST,16,372,356,335,50,79,76,9,9,8.6,8.6,1063,8.8
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,MS/HS,165,476,481,479,67,48,81,8.5,8.4,8.2,8.4,1436,8.375
17K600,CLARA BARTON HIGH SCHOOL,HS,259,425,413,413,13,85,81,7.7,7.4,7.2,7.3,1251,7.4
17K625,PAUL ROBESON HIGH SCHOOL,HS,53,365,363,355,9,50,53,6.8,6.6,6,6.9,1083,6.574999999999999
18K563,IT TAKES A VILLAGE ACADEMY,HS,56,313,320,330,61,100,93,8.7,8.4,8.3,8.1,963,8.375
18K566,BROOKLYN GENERATION SCHOOL,HS,29,374,377,394,32,100,86,8.1,8.2,7.5,7.5,1145,7.824999999999999
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,HS,54,383,358,377,22,100,83,7.5,7.5,6.9,6.8,1118,7.175
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,HS,43,368,378,346,16,100,86,8.7,8.8,8.3,8.1,1092,8.475
18K576,VICTORY COLLEGIATE HIGH SCHOOL,HS,63,387,377,379,41,67,50,7.8,8,7.3,7.5,1143,7.65
18K578,BROOKLYN BRIDGE ACADEMY,HST,17,384,362,351,24,78,81,8.4,8.4,8.3,8.4,1097,8.375
18K589,ARTS & MEDIA PREPARATORY ACADEMY,HS,48,361,360,359,20,64,67,8.2,8.3,7.7,8.1,1080,8.075
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,HS,37,404,393,386,20,85,64,7.6,7.3,7,7.2,1183,7.2749999999999995
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,HS,33,393,395,381,37,78,85,7.6,7.4,7.2,7.3,1169,7.375
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,HS,75,386,380,393,15,100,86,7.9,7.8,7.1,7.4,1159,7.549999999999999
18K635,OLYMPUS ACADEMY,HST,7,400,370,370,10,86,47,8.8,8.6,8.1,8.6,1140,8.525
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,HS,35,363,381,367,47,100,82,7.8,7.8,7.3,7.3,1111,7.55
18K642,URBAN ACTION ACADEMY,HS,40,376,385,374,55,71,93,7.4,7.2,6.6,7.1,1135,7.075000000000001
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,HST,12,410,403,378,40,82,65,8.9,8.7,8.5,8.5,1191,8.65
19K409,EAST NEW YORK FAMILY ACADEMY,MS/HS,54,416,432,394,37,83,86,7.7,7.4,7,7.7,1242,7.45
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,HS,37,341,349,333,38,96,80,8,8,7.6,7.5,1023,7.775
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,HS,47,363,349,342,18,90,67,8.5,8.5,8.1,7.7,1054,8.200000000000001
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,HS,61,380,386,383,42,61,68,8.3,8.1,7.8,7.7,1149,7.975
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,HS,68,371,365,370,27,85,74,7.1,6.5,6.1,6.5,1106,6.55
19K583,MULTICULTURAL HIGH SCHOOL,HS,29,279,322,286,11,93,74,7.6,7.6,7.4,7.6,887,7.550000000000001
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,182,395,418,380,11,85,75,7.3,7.1,6.9,6.5,1193,6.949999999999999
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,HS,60,371,371,354,17,88,78,8.2,8,7.8,7.6,1096,7.9
19K639,BROOKLYN LAB SCHOOL,HS,57,360,385,363,20,96,62,7.5,7.3,6.8,7.1,1108,7.175000000000001
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,HS,51,376,385,368,28,96,79,7.4,7.5,7.1,7.1,1129,7.275
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,74,370,369,363,75,98,82,8.3,8.2,7.7,7.5,1102,7.925
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",HS,38,383,400,374,56,88,87,8.1,8,7.6,7.5,1157,7.800000000000001
20K445,NEW UTRECHT HIGH SCHOOL,HS,456,402,471,399,49,86,75,7.8,7.5,7.4,7.6,1272,7.575000000000001
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,HS,238,425,474,424,15,90,90,8.2,8,7.5,8.2,1323,7.975
20K490,FORT HAMILTON HIGH SCHOOL,HS,694,417,478,411,43,66,72,7.7,7.2,7.2,7.5,1306,7.4
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,HS,385,383,486,375,42,98,79,7.9,7.7,7.5,7.6,1244,7.675000000000001
20K658,FRANKLIN DELANO ROOSEVELT YABC,YABC,18,338,477,316,14,59,46,8.3,8.1,7.8,8.2,1131,8.1
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,HS,54,326,386,314,52,96,91,8.1,7.7,7.5,8.3,1026,7.9
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,HS,54,402,427,408,51,70,93,7.6,7.5,7.1,7.4,1237,7.4
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,HS,39,388,398,378,26,100,91,7.9,7.8,7.6,7.2,1164,7.624999999999999
21K410,ABRAHAM LINCOLN HIGH SCHOOL,HS,475,396,437,393,17,92,74,8,7.8,7.7,7.6,1226,7.775
21K525,EDWARD R. MURROW HIGH SCHOOL,HS,727,468,496,467,27,89,90,8,7.8,7.7,7.6,1431,7.775
21K540,JOHN DEWEY HIGH SCHOOL,HS,448,404,468,390,17,85,40,7.7,7.2,7.1,7.5,1262,7.375
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,HS,40,384,375,365,50,94,77,8.4,8.6,7.9,7.7,1124,8.15
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,HS,40,353,370,356,50,95,84,8.7,8.6,8.1,8.4,1079,8.45
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,95,394,414,376,58,84,73,8.4,8.3,8.1,7.7,1184,8.125000000000002
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,MS/HS,119,429,449,435,22,66,94,7,6.3,6.2,7.1,1313,6.65
21K728,LIBERATION DIPLOMA PLUS,HST,10,411,369,373,88,89,94,8.5,8.5,8.2,8.5,1153,8.425
22K405,MIDWOOD HIGH SCHOOL,HS,824,478,519,476,17,81,76,8.3,7.8,7.8,7.9,1473,7.950000000000001
22K425,JAMES MADISON HIGH SCHOOL,HS,518,436,475,439,25,54,82,8.6,8.3,8.2,8.1,1350,8.299999999999999
22K495,SHEEPSHEAD BAY HIGH SCHOOL,HS,236,383,392,370,5,73,72,7,6.6,6.4,6.3,1145,6.575
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,HS,259,524,561,542,18,88,90,8.2,7.9,7.8,8.4,1627,8.075000000000001
22K555,BROOKLYN COLLEGE ACADEMY,MS/HS,131,456,456,440,52,90,95,8.9,8.7,8,8.7,1352,8.575
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,MS/HS,60,389,409,387,25,39,67,7.7,7.3,7,7,1185,7.25
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,HS,55,361,371,359,46,100,88,7.3,7.3,6.8,7,1091,7.1
23K643,BROOKLYN DEMOCRACY ACADEMY,HST,11,349,338,331,12,81,40,8.3,8.3,8,8,1018,8.15
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,HST,7,311,371,311,30,100,62,8.9,8.8,8.4,8.5,993,8.65
23K697,TEACHERS PREPARATORY HIGH SCHOOL,MS/HS,69,392,416,388,40,71,81,7.9,7.5,7.1,7,1196,7.375
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,HS,89,405,454,421,71,100,98,8.6,8.3,7.9,8.3,1280,8.274999999999999
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,HS,39,406,413,400,28,96,91,8.3,8.4,7.8,8.2,1219,8.175
24Q293,CIVIC LEADERSHIP ACADEMY,HS,69,404,429,407,56,88,97,8.2,7.7,7.5,8.4,1240,7.949999999999999
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,HS,55,317,323,311,38,93,79,8,7.3,7.4,7.6,951,7.575000000000001
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,HS,155,545,568,550,47,93,48,8.9,8,8.1,8.7,1663,8.425
24Q455,NEWTOWN HIGH SCHOOL,HS,320,383,440,380,17,67,74,8.5,8.4,8.1,8.1,1203,8.275
24Q485,GROVER CLEVELAND HIGH SCHOOL,HS,241,395,420,396,10,87,53,7.9,7.4,7.4,7.7,1211,7.6000000000000005
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,HS,58,399,393,385,45,72,81,8,7.9,7.7,8.1,1177,7.925000000000001
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,HS,69,326,409,329,76,94,90,8.6,8.5,8.2,8.6,1064,8.475
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,HS,138,391,403,380,29,100,78,8.6,8.4,8.1,8.3,1174,8.350000000000001
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",MS/HS,80,443,447,440,28,100,83,8.4,8.4,8,8.4,1330,8.3
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,HS,155,417,447,406,18,89,92,8.1,7.9,7.7,7.7,1270,7.85
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,HS,396,445,496,423,17,100,94,8.2,8.3,7.9,8.4,1364,8.2
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",MS/HS,58,455,498,443,38,100,99,8.1,7.7,7.4,7.9,1396,7.775
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,HS,45,314,417,318,66,97,93,8.5,8.5,8.1,8.4,1049,8.375
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,MS/HS,59,416,463,392,33,67,97,7.9,7.6,7.1,8.1,1271,7.675000000000001
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,MS/HS,63,471,489,481,32,78,88,8,8,7.5,7.9,1441,7.85
25Q425,JOHN BOWNE HIGH SCHOOL,HS,558,397,451,395,14,74,76,8,7.7,7.6,7.3,1243,7.6499999999999995
25Q460,FLUSHING HIGH SCHOOL,HS,347,393,441,382,18,68,69,7.2,7,6.7,6.4,1216,6.824999999999999
25Q467,FLUSHING YABC,YABC,9,378,373,344,7,83,57,8.6,8.4,8.2,8.2,1095,8.35
25Q525,TOWNSEND HARRIS HIGH SCHOOL,HS,278,621,651,638,33,96,94,8.2,7.9,7.7,8.6,1910,8.1
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,HS,99,431,458,441,28,93,37,8.6,8.6,8.1,8.4,1330,8.424999999999999
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,HST,7,379,421,377,61,100,84,8.4,8.3,7.9,8.1,1177,8.175
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,HS,888,480,545,489,21,85,81,7.7,7.3,7.3,7.2,1514,7.375
26Q430,FRANCIS LEWIS HIGH SCHOOL,HS,934,468,539,467,26,76,84,8.7,8.5,8.5,8.4,1474,8.525
26Q435,MARTIN VAN BUREN HIGH SCHOOL,HS,334,391,397,384,23,100,76,7.1,6.9,6.6,6.1,1172,6.675000000000001
26Q495,BAYSIDE HIGH SCHOOL,HS,708,462,523,464,13,87,38,7.9,7.6,7.6,7.9,1449,7.75
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",HS,175,425,434,420,23,92,80,7.5,7.6,7.3,7.4,1279,7.449999999999999
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,HS,87,387,385,373,29,78,74,6.8,6.4,6.1,6.3,1145,6.3999999999999995
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,MS/HS,74,432,419,401,41,100,90,8.5,8.4,8,8.2,1252,8.274999999999999
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",HS,44,391,401,364,51,90,79,7.8,7.9,7.5,7.3,1156,7.625
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,HS,93,423,426,416,52,86,88,8.4,8.2,7.8,8,1265,8.100000000000001
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,MS/HS,36,367,379,348,48,88,74,7.7,7.7,6.9,6.8,1094,7.275
27Q323,SCHOLARS' ACADEMY,MS/HS,89,499,537,496,67,98,95,9.2,8.9,8.7,9.1,1532,8.975
27Q400,AUGUST MARTIN HIGH SCHOOL,HS,101,377,371,360,14,70,58,7.4,7.4,6.9,6.6,1108,7.075000000000001
27Q410,BEACH CHANNEL HIGH SCHOOL,HS,78,384,396,354,3,68,60,7.9,7.6,7.3,7.2,1134,7.5
27Q475,RICHMOND HILL HIGH SCHOOL,HS,404,382,404,368,7,75,59,7.6,7.3,7.1,6.5,1154,7.125
27Q480,JOHN ADAMS HIGH SCHOOL,HS,403,391,409,392,11,81,61,7.5,7.4,7,6.9,1192,7.199999999999999
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",HS,194,429,491,425,24,95,93,8.1,7.4,7.4,7.8,1345,7.675
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,MS/HS,68,420,445,400,39,96,86,7.8,7.6,7.3,7.2,1265,7.475
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,HST,6,403,408,367,20,86,55,8.4,8.3,8,8.4,1178,8.275
28Q350,JAMAICA GATEWAY TO THE SCIENCES,HS,25,430,452,425,16,42,93,8.2,8.2,7.4,7.3,1307,7.7749999999999995
28Q440,FOREST HILLS HIGH SCHOOL,HS,762,456,497,454,12,78,37,8,7.7,7.7,7.6,1407,7.75
28Q470,JAMAICA HIGH SCHOOL,HS,90,342,368,353,23,64,66,7.4,7.2,7.1,7.7,1063,7.3500000000000005
28Q505,HILLCREST HIGH SCHOOL,HS,462,395,413,386,36,86,40,9,8.9,8.8,8.7,1194,8.85
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,422,452,478,442,49,100,94,8.1,8,7.7,7.8,1372,7.9
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,MS/HS,99,513,523,502,23,63,95,7.8,6.7,6.5,7.7,1538,7.175
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,HS,121,612,660,596,27,83,98,8.2,8.3,8,8.4,1868,8.225
