dbn,school_name,school_type,n_test_takers,reading,math,writing,parent_response_rate,teacher_response_rate,student_response_rate,academic_expectations,communication,engagement,safety_and_respect,SAT_score,total_satisfaction
02M519,TALENT UNLIMITED HIGH SCHOOL,HS,81,469,472,475,49,96,94,8.1,7.6,7.6,8,1416,7.824999999999999
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,HS,264,407,440,393,9,95,49,6.5,5.9,5.9,6.1,1240,6.1
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,HS,131,414,425,400,13,58,77,8,7.9,7.4,8,1239,7.825
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,HS,42,429,404,420,48,92,85,8.2,8.1,7.5,7.9,1253,7.924999999999999
02M542,MANHATTAN BRIDGES HIGH SCHOOL,HS,66,336,378,344,52,95,77,8.7,8.6,8.2,8.6,1058,8.524999999999999
02M543,NEW DESIGN HIGH SCHOOL,HS,73,391,395,382,3,88,31,7.7,7.4,7.2,7.7,1168,7.5
02M544,INDEPENDENCE HIGH SCHOOL,HST,14,389,371,335,19,91,31,9.1,8.8,8.8,9,1095,8.925
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,HS,78,412,581,431,47,54,93,7.8,7.5,7.1,8.3,1424,7.675
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,HST,26,368,436,352,59,79,93,8.1,7.6,7.4,8,1156,7.775
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,HS,77,405,423,384,20,89,87,7.7,7.6,7.4,7.9,1212,7.65
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,HST,56,498,440,477,17,92,56,8.7,8.4,8.5,8.8,1415,8.600000000000001
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,HST,30,527,508,512,18,100,68,8.9,9.1,8.9,9,1547,8.975
02M570,SATELLITE ACADEMY HIGH SCHOOL,HST,33,350,337,345,14,100,75,9,9.3,9,9.2,1032,9.125
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,HST,121,345,517,343,19,86,78,8.7,8.5,8.4,8.8,1205,8.600000000000001
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,HS,84,408,384,403,26,95,76,7.7,7.4,7.1,7.5,1195,7.425000000000001
02M586,HARVEY MILK HIGH SCHOOL,HST,9,458,416,429,32,100,92,8.3,8.6,7.6,8,1303,8.125
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,HS,335,423,423,411,27,76,92,8.2,8,7.8,7.9,1257,7.975
02M605,HUMANITIES PREPARATORY ACADEMY,HST,36,426,403,426,42,100,81,8.4,8.5,8.1,8.2,1255,8.3
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,83,399,418,390,29,82,95,8.2,8,7.4,8.1,1207,7.925000000000001
02M620,NORMAN THOMAS HIGH SCHOOL,HS,154,370,379,359,20,100,64,7,6.9,6.8,7.3,1108,7
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,HS,191,395,382,376,10,68,54,6.3,5.8,5.5,5.9,1153,5.875
02M630,ART AND DESIGN HIGH SCHOOL,HS,270,444,441,430,22,41,54,7.4,6.8,6.8,7.6,1315,7.15
02M655,LIFE SCIENCES SECONDARY SCHOOL,MS/HS,61,409,424,403,15,62,48,7.7,7.7,7.1,7.1,1236,7.4
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,HS,27,406,379,408,8,71,53,6.6,6.6,5.9,6.4,1193,6.375
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",HS,49,374,384,374,24,100,77,7.7,7.7,7.3,7.5,1132,7.55
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",HS,41,384,390,370,23,96,90,8.2,8.1,7.7,7.8,1144,7.949999999999999
03M404,INNOVATION DIPLOMA PLUS,HST,12,416,403,381,49,100,47,8.6,8.7,8.3,8.5,1200,8.524999999999999
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,MS/HS,32,371,368,370,45,85,60,7.5,7.1,7,7.2,1109,7.2
03M479,BEACON HIGH SCHOOL,HS,261,577,575,592,34,84,83,8.4,7.8,8,8.3,1744,8.125
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,HS,531,566,564,577,36,50,89,7.7,7.1,7.4,8,1707,7.550000000000001
